PLAYER_ID,PLAYER,BIRDIE_AVG,BIRDIE_# OF BIRDIES,BIRDIE_TOTAL ROUNDS,DRIVING_AVG,DRIVING_TOTAL DISTANCE,DRIVING_TOTAL DRIVES,FAIRWAY_%,FAIRWAY_FAIRWAYS HIT,FAIRWAY_POSSIBLE FAIRWAYS,GREENS_%,GREENS_GREENS HIT,GREENS_# HOLES,GREENS_RELATIVE/PAR,PAR5_AVG,PAR5_TOTAL STROKES,PAR5_TOTAL HOLES,PAR4_AVG,PAR4_TOTAL STROKES,PAR4_TOTAL HOLES,PAR3_AVG,PAR3_TOTAL STROKES,PAR3_TOTAL HOLES,SCRAMBLE_%,SCRAMBLE_PAR OR BETTER,SCRAMBLE_MISSED GIR,STROKES_AVG,STROKES_TOTAL STROKES,STROKES_TOTAL ADJUSTMENT,STROKES_TOTAL ROUNDS,THREE_PUTT_%,THREE_PUTT_TOTAL,THREE_PUTT_TOTAL_HOLES,APPROACH_SG_AVG,APPROACH_SG_TOTAL,APPROACH_MEASURED_ROUNDS,PROXIMITY_AVG,PROXIMITY_TOTAL_DIST_FT,PROXIMITY_ATTEMPTS,PROXIMITY_GIR_RANK,SG_PUTTING_AVG,SG_PUTTING_TOTAL,SG_PUTTING_MEASURED_ROUNDS,SG_OTT_AVG,SG_OTT_TOTAL,SG_OTT_MEASURED_ROUNDS,SG_ATG_AVG,SG_ATG_TOTAL,SG_ATG_MEASURED_ROUNDS
50286,A.J. Ewart,3.85,131,34,302.8,20587,68,55.96%,263,470,68.14%,417,612,-0.27,4.61,562,122,3.99,1387,348,3.07,436,142,65.13%,127,195,71.012,2385.0,29.392,34.0,2.61%,16.0,612.0,-0.152,-4.099,27.0,"35' 9""",17098.333,478.0,34,0.513,13.847,27.0,-0.095,-2.568,27.0,-0.088,-2.372,27.0
46414,Aaron Rai,3.35,67,20,285.7,11428,40,65.47%,182,278,70.00%,252,360,-0.25,4.56,292,64,4.05,867,214,3.1,254,82,55.56%,60,108,71.547,1413.0,17.942,20.0,4.17%,18.0,432.0,0.094,1.878,20.0,"37' 0""",13214.75,357.0,T15,-0.437,-8.743,20.0,-0.088,-1.765,20.0,-0.016,-0.328,20.0
47347,Adam Schenk,3.48,101,29,299.9,17097,57,51.24%,206,402,63.03%,329,522,-0.25,4.69,488,104,4.12,1229,298,3.11,373,120,52.85%,102,193,73.193,2090.0,32.587,29.0,3.37%,20.0,594.0,-0.353,-10.585,30.0,"38' 4""",20519.75,535.0,T121,-0.572,-17.158,30.0,-0.376,-11.266,30.0,0.076,2.274,30.0
24502,Adam Scott,4.07,114,28,312.2,17484,56,56.44%,219,388,69.84%,352,504,-0.32,4.47,429,96,4.01,1170,292,2.91,338,116,66.45%,101,152,70.19,1937.0,28.306,28.0,3.13%,18.0,576.0,0.912,22.791,25.0,"33' 7""",14989.167,446.0,T19,-0.029,-0.725,25.0,0.315,7.887,25.0,-0.103,-2.57,25.0
40115,Adam Svensson,3.65,84,23,292.7,13462,46,60.38%,192,318,65.94%,273,414,-0.26,4.6,368,80,4.03,958,238,3.08,296,96,63.12%,89,141,71.483,1622.0,22.104,23.0,3.86%,16.0,414.0,0.227,3.634,16.0,"36' 1""",10329.667,286.0,T74,-0.959,-15.341,16.0,-0.046,-0.729,16.0,0.186,2.972,16.0
50497,Adrien Dumont de Chassart,3.94,126,32,310.1,19845,64,54.77%,241,440,64.58%,372,576,-0.32,4.55,501,110,4.01,1322,330,2.99,406,136,66.67%,136,204,70.614,2229.0,30.663,32.0,1.91%,11.0,576.0,0.085,2.136,25.0,"37' 6""",16774.167,447.0,98,-0.072,-1.81,25.0,0.068,1.694,25.0,0.438,10.955,25.0
34371,Adrien Saddier,3.58,93,26,301.2,15660,52,61.73%,221,358,65.60%,307,468,-0.28,4.61,406,88,4.03,1087,270,3.15,346,110,59.01%,95,161,71.753,1839.0,26.584,26.0,1.71%,8.0,468.0,-0.332,-6.969,21.0,"37' 5""",14008.333,374.0,83,0.004,0.083,21.0,0.156,3.277,21.0,-0.142,-2.985,21.0
56630,Akshay Bhatia,4.92,123,25,301.2,15058,50,58.57%,205,350,69.33%,312,450,-0.38,4.46,410,92,3.93,1014,258,3.03,303,100,65.22%,90,138,70.293,1727.0,30.327,25.0,2.51%,14.0,558.0,0.72,18.725,26.0,"35' 11""",16612.083,462.0,41,0.792,20.595,26.0,-0.059,-1.543,26.0,0.062,1.602,26.0
63343,Aldrich Potgieter,3.7,85,23,324.8,14942,46,55.97%,178,318,66.43%,275,414,-0.29,4.54,372,82,4.07,960,236,3.14,301,96,54.68%,76,139,72.237,1633.0,28.454,23.0,5.75%,30.0,522.0,-0.306,-7.353,24.0,"38' 1""",16255.583,427.0,T92,-0.428,-10.275,24.0,0.698,16.749,24.0,-0.448,-10.757,24.0
38991,Alejandro Tosti,3.33,70,21,308.1,12940,42,50.35%,145,288,57.67%,218,378,-0.27,4.66,345,74,4.14,886,214,3.3,297,90,52.50%,84,160,73.533,1528.0,16.197,21.0,3.97%,15.0,378.0,-1.067,-17.067,16.0,"39' 2""",11082.833,283.0,157,-0.963,-15.403,16.0,-0.004,-0.059,16.0,-0.258,-4.131,16.0
27349,Alex Noren,4.32,108,25,290.1,14506,50,61.43%,215,350,64.22%,289,450,-0.35,4.55,437,96,3.97,1009,254,3.08,308,100,65.22%,105,161,71.305,1754.0,28.619,25.0,3.03%,18.0,594.0,0.033,0.866,26.0,"39' 1""",18105.667,463.0,115,0.364,9.457,26.0,-0.178,-4.632,26.0,0.289,7.51,26.0
46340,Alex Smalley,4.05,154,38,306.0,23259,76,57.82%,303,524,69.59%,476,684,-0.31,4.55,601,132,3.95,1550,392,3.08,493,160,60.58%,126,208,70.595,2644.0,38.62,38.0,2.05%,14.0,684.0,0.397,13.907,35.0,"34' 6""",21576.833,626.0,14,0.156,5.465,35.0,0.127,4.453,35.0,0.129,4.532,35.0
51997,Andrew Novak,3.87,120,31,297.6,18454,62,56.74%,244,430,63.44%,354,558,-0.31,4.59,542,118,4.07,1269,312,2.98,382,128,62.75%,128,204,71.782,2193.0,32.244,31.0,3.30%,22.0,666.0,0.13,4.153,32.0,"36' 9""",20961.333,571.0,130,-0.246,-7.876,32.0,-0.057,-1.822,32.0,0.063,2.006,32.0
34256,Andrew Putnam,3.86,108,28,280.5,15708,56,70.83%,272,384,64.48%,325,504,-0.29,4.57,484,106,4.01,1115,278,3.03,364,120,69.27%,124,179,70.739,1963.0,17.679,28.0,3.13%,18.0,576.0,0.381,11.061,29.0,"40' 3""",20972.25,521.0,104,-0.001,-0.017,29.0,-0.398,-11.554,29.0,0.437,12.664,29.0
57362,Austin Eckroat,4.14,120,29,299.6,17379,58,58.00%,232,400,64.75%,338,522,-0.34,4.62,471,102,3.98,1185,298,3.08,376,122,59.78%,110,184,71.089,2032.0,29.567,29.0,.57%,3.0,522.0,0.428,9.419,22.0,"38' 5""",15190.25,395.0,T92,-0.198,-4.36,22.0,-0.102,-2.246,22.0,-0.143,-3.148,22.0
50095,Austin Smotherman,4.27,111,26,302.1,15707,52,63.26%,229,362,69.23%,324,468,-0.32,4.66,438,94,4.01,1076,268,2.92,310,106,59.72%,86,144,70.891,1824.0,19.166,26.0,3.15%,17.0,540.0,0.74,19.985,27.0,"34' 11""",16794.75,481.0,36,-0.52,-14.027,27.0,0.384,10.366,27.0,-0.379,-10.222,27.0
35461,Beau Hossler,3.6,90,25,297.7,14887,50,56.10%,193,344,62.44%,281,450,-0.31,4.58,403,88,4.03,1032,256,3.0,318,106,66.86%,113,169,71.121,1753.0,25.017,25.0,1.78%,8.0,450.0,-0.382,-6.876,18.0,"40' 5""",12986.083,321.0,134,0.735,13.221,18.0,-0.169,-3.049,18.0,0.296,5.324,18.0
54591,Ben Griffin,4.03,121,30,300.8,18045,60,62.32%,258,414,68.52%,370,540,-0.32,4.47,447,100,4.01,1260,314,3.03,382,126,61.76%,105,170,70.812,2089.0,35.368,30.0,2.63%,18.0,684.0,-0.258,-8.245,32.0,"39' 1""",22327.333,571.0,T62,0.148,4.732,32.0,-0.231,-7.4,32.0,0.579,18.535,32.0
29420,Billy Horschel,3.79,129,34,299.0,20331,68,52.34%,246,470,64.54%,395,612,-0.31,4.62,554,120,4.05,1416,350,3.06,435,142,55.30%,120,217,71.865,2405.0,38.409,34.0,1.75%,12.0,684.0,0.049,1.724,35.0,"39' 5""",24799.833,629.0,113,-0.007,-0.244,35.0,-0.386,-13.499,35.0,-0.301,-10.536,35.0
66417,Blades Brown,4.43,62,14,312.5,8749,28,60.94%,117,192,68.65%,173,252,-0.38,4.57,247,54,4.01,553,138,2.88,173,60,62.03%,49,79,,,,,,,,,,,,,,,,,,,,,,,
27649,Brandt Snedeker,3.18,54,17,281.2,9562,34,62.82%,147,234,62.09%,190,306,-0.27,4.65,307,66,4.07,684,168,2.97,214,72,67.24%,78,116,71.74,1205.0,14.576,17.0,,,,,,,,,,,,,,,,,,,
